
2023/09/16 (19:37:25) | ===> btop++ v.1.2.13
2023/09/16 (19:37:25) | INFO: Logger set to DEBUG
2023/09/16 (19:37:25) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/09/16 (19:37:25) | INFO: Running on /dev/pts/1
2023/09/16 (19:37:25) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/night-owl.theme

2023/09/21 (14:21:17) | ===> btop++ v.1.2.13
2023/09/21 (14:21:17) | INFO: Logger set to DEBUG
2023/09/21 (14:21:17) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/09/21 (14:21:17) | INFO: Running on /dev/pts/0
2023/09/21 (14:21:17) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/night-owl.theme
2023/09/21 (14:21:26) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2023/09/21 (14:21:26) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2023/09/21 (14:21:30) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2023/09/21 (14:21:37) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2023/09/21 (14:21:47) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2023/09/21 (14:21:51) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2023/09/21 (14:21:59) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2023/09/21 (14:22:04) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2023/09/21 (14:22:07) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2023/09/21 (14:22:11) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2023/09/21 (14:22:18) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme

2023/09/21 (14:22:30) | ===> btop++ v.1.2.13
2023/09/21 (14:22:30) | INFO: Logger set to DEBUG
2023/09/21 (14:22:30) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/09/21 (14:22:30) | INFO: Running on /dev/pts/0
2023/09/21 (14:22:30) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/night-owl.theme

2023/09/23 (19:21:38) | ===> btop++ v.1.2.13
2023/09/23 (19:21:38) | INFO: Logger set to DEBUG
2023/09/23 (19:21:38) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/09/23 (19:21:38) | INFO: Running on /dev/pts/0
2023/09/23 (19:21:38) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/night-owl.theme

2023/09/24 (10:09:26) | ===> btop++ v.1.2.13
2023/09/24 (10:09:26) | INFO: Logger set to DEBUG
2023/09/24 (10:09:26) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/09/24 (10:09:26) | INFO: Running on /dev/pts/0
2023/09/24 (10:09:26) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/night-owl.theme

2023/09/24 (10:12:30) | ===> btop++ v.1.2.13
2023/09/24 (10:12:30) | INFO: Logger set to DEBUG
2023/09/24 (10:12:30) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/09/24 (10:12:30) | INFO: Running on /dev/pts/1
2023/09/24 (10:12:35) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2023/09/24 (10:14:28) | ===> btop++ v.1.2.13
2023/09/24 (10:14:28) | INFO: Logger set to DEBUG
2023/09/24 (10:14:28) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/09/24 (10:14:28) | INFO: Running on /dev/pts/0
2023/09/24 (10:14:34) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2023/09/24 (10:14:34) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2023/09/24 (10:14:34) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2023/09/24 (10:14:35) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2023/09/24 (10:14:35) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2023/09/24 (10:14:35) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2023/09/24 (10:14:36) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2023/09/24 (10:14:36) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2023/09/24 (10:14:36) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2023/09/24 (10:14:37) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2023/09/24 (10:14:37) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2023/09/24 (10:14:37) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2023/09/24 (10:14:37) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/09/24 (10:14:38) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2023/09/24 (10:14:38) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2023/09/24 (10:14:39) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2023/09/24 (10:14:39) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2023/09/24 (10:14:40) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2023/09/24 (10:14:40) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2023/09/24 (10:14:40) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2023/09/24 (10:14:41) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2023/09/24 (10:14:41) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2023/09/24 (10:14:41) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2023/09/24 (10:14:42) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2023/09/24 (10:14:42) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2023/09/24 (10:14:42) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2023/09/24 (10:14:42) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/cattpucin_latte.theme
2023/09/24 (10:14:43) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/night-owl.theme
2023/09/24 (10:14:43) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/cattpucin_latte.theme
2023/09/24 (10:14:44) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2023/09/24 (10:14:52) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/cattpucin_latte.theme

2023/09/24 (10:15:26) | ===> btop++ v.1.2.13
2023/09/24 (10:15:26) | INFO: Logger set to DEBUG
2023/09/24 (10:15:26) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/09/24 (10:15:26) | INFO: Running on /dev/pts/0
2023/09/24 (10:15:32) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2023/09/24 (10:15:34) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2023/09/24 (10:15:35) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2023/09/24 (10:15:36) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2023/09/24 (10:15:37) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/cattpucin_latte.theme

2023/09/24 (10:16:05) | ===> btop++ v.1.2.13
2023/09/24 (10:16:05) | INFO: Logger set to DEBUG
2023/09/24 (10:16:05) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/09/24 (10:16:05) | INFO: Running on /dev/pts/0
2023/09/24 (10:16:05) | DEBUG: Loading theme file: /home/clo/.config/btop/themes/cattpucin_latte.theme
